Rank	Beauty Coefficient	Author(s)	Title	Publication Year	Awakening Year	Journal
34	290.1	Kenneth Greisen	End to the Cosmic-Ray Spectrum?	1966	1995	Physical Review Letters
35	276.9	T. D. Lee; C. N. Yang	Many-Body Problem in Quantum Mechanics and Quantum Statistical Mechanics	1957	1995	Physical Review
36	276.0	N. Bohr	Can Quantum-Mechanical Description of Physical Reality be Considered Complete?	1935	1998	Physical Review
37	275.8	Paul S. Epstein	On the Resistance Experienced by Spheres in their Motion through Gases	1924	1998	Physical Review
38	274.0	R. W. Gurney; E. U. Condon	Quantum Mechanics and Radioactive Disintegration	1929	2003	Physical Review
39	269.3	Walter Kohn	Theory of the Insulating State	1964	1989	Physical Review
40	258.2	P. W. Anderson	Theory of Flux Creep in Hard Superconductors	1962	1985	Physical Review Letters
41	256.4	Edward W. Washburn	The Dynamics of Capillary Flow	1921	1994	Physical Review
42	254.6	E. J. Williams	Nature of the High Energy Particles of Penetrating Radiation and Status of Ionization and Radiation Formulae	1934	1985	Physical Review
43	254.1	Lars Onsager	Reciprocal Relations in Irreversible Processes. I.	1931	2000	Physical Review
44	252.4	L. G. Parratt	Surface Studies of Solids by Total Reflection of X-Rays	1954	1989	Physical Review
45	250.8	E. Wigner	On the Quantum Correction For Thermodynamic Equilibrium	1932	1980	Physical Review
46	247.6	H. Suhl; B. T. Matthias; L. R. Walker	Bardeen-Cooper-Schrieffer Theory of Superconductivity in the Case of Overlapping Bands	1959	2000	Physical Review Letters
47	247.2	Charles Kittel	On the Theory of Ferromagnetic Resonance Absorption	1948	1998	Physical Review
48	247.0	Y. Baskin; L. Meyer	Lattice Constants of Graphite at Low Temperatures	1955	2002	Physical Review
49	245.4	Elliott H. Lieb; Werner Liniger	Exact Analysis of an Interacting Bose Gas. I. The General Solution and the Ground State	1963	1997	Physical Review
50	245.2	G. E. Uhlenbeck; L. S. Ornstein	On the Theory of the Brownian Motion	1930	2003	Physical Review
51	245.2	R. Smoluchowski	Anisotropy of the Electronic Work Function of Metals	1941	1990	Physical Review
52	239.8	Oliver Penrose; Lars Onsager	Bose-Einstein Condensation and Liquid Helium	1956	1993	Physical Review
53	239.7	H. Nyquist	Thermal Agitation of Electric Charge in Conductors	1928	1990	Physical Review
54	237.4	E. Wigner	On the Interaction of Electrons in Metals	1934	1975	Physical Review
55	236.9	C. P. Bean; J. D. Livingston	Surface Barrier in Type-II Superconductors	1964	1990	Physical Review Letters
56	230.6	F. D. M. Haldane	Model for a Quantum Hall Effect without Landau Levels: Condensed-Matter Realization of the "Parity Anomaly"	1988	2004	Physical Review Letters
57	228.4	A. J. Leggett	Can a Solid Be "Superfluid"?	1970	2003	Physical Review Letters
58	228.4	David Bohm	A Suggested Interpretation of the Quantum Theory in Terms of "Hidden" Variables. I	1952	1992	Physical Review
59	227.1	L. Berger	Side-Jump Mechanism for the Hall Effect of Ferromagnets	1970	2002	Physical Review B
60	226.5	Elliott H. Lieb	Exact Analysis of an Interacting Bose Gas. II. The Excitation Spectrum	1963	1998	Physical Review
61	226.0	Richard C. Tolman	On the Problem of the Entropy of the Universe as a Whole	1931	2007	Physical Review
62	223.8	Richard A. Beth	Mechanical Detection and Measurement of the Angular Momentum of Light	1936	1993	Physical Review
63	222.6	H. B. G. Casimir; D. Polder	The Influence of Retardation on the London-van der Waals Forces	1948	2003	Physical Review
64	222.6	David Bohm	A Suggested Interpretation of the Quantum Theory in Terms of "Hidden" Variables. II	1952	1997	Physical Review
65	220.7	Philip M. Morse	Diatomic Molecules According to the Wave Mechanics. II. Vibrational Levels	1929	1985	Physical Review
66	219.8	N. Rosen; C. Zener	Double Stern-Gerlach Experiment and Related Collision Phenomena	1932	1999	Physical Review
67	219.8	Tôru Moriya	Anisotropic Superexchange Interaction and Weak Ferromagnetism	1960	1999	Physical Review
68	219.0	R. W. Wood	Anomalous Diffraction Gratings	1935	2000	Physical Review
69	218.5	Klaus D. Usadel	Generalized Diffusion Equation for Superconducting Alloys	1970	1997	Physical Review Letters
70	218.1	Eytan Barouch; Barry M. McCoy	Statistical Mechanics of the X Y Model. II. Spin-Correlation Functions	1971	2001	Physical Review A
71	213.7	P. W. Anderson	An Approximate Quantum Theory of the Antiferromagnetic Ground State	1952	1985	Physical Review
72	212.0	D. P. DiVincenzo; E. J. Mele	Self-consistent effective-mass theory for intralayer screening in graphite intercalation compounds	1984	2003	Physical Review B
73	211.1	Chr. Møller; M. S. Plesset	Note on an Approximation Treatment for Many-Electron Systems	1934	1996	Physical Review
74	206.1	M. R. Beasley; R. Labusch; W. W. Webb	Flux Creep in Type-II Superconductors	1969	1987	Physical Review
75	202.5	R. W. Gurney	Theory of Electrical Double Layers in Adsorbed Films	1935	1984	Physical Review
76	202.2	Yosuke Nagaoka	Ferromagnetism in a Narrow, Almost Half-Filled s Band	1966	1986	Physical Review
77	201.1	G. V. Chester	Speculations on Bose-Einstein Condensation and Quantum Crystals	1970	2003	Physical Review A
78	200.3	P. L. Bhatnagar; E. P. Gross; M. Krook	A Model for Collision Processes in Gases. I. Small Amplitude Processes in Charged and Neutral One-Component Systems	1954	1992	Physical Review
79	197.0	J. W. McClure	Band Structure of Graphite and de Haas-van Alphen Effect	1957	2001	Physical Review
80	196.8	J. B. Johnson	Thermal Agitation of Electricity in Conductors	1928	2002	Physical Review
81	193.5	William Shockley	On the Surface States Associated with a Periodic Potential	1939	1997	Physical Review
82	192.7	P. W. Anderson	Ordering and Antiferromagnetism in Ferrites	1956	1996	Physical Review
83	192.7	A. B. Migdal	Bremsstrahlung and Pair Production in Condensed Media at High Energies	1956	1994	Physical Review
84	192.1	Charles W. Misner; David H. Sharp	Relativistic Equations for Adiabatic, Spherically Symmetric Gravitational Collapse	1964	2003	Physical Review
85	188.5	L. H. Thomas	The Interaction Between a Neutron and a Proton and the Structure of H^{3}	1935	1989	Physical Review
86	186.2	Erich S. Weibel	Spontaneously Growing Transverse Waves in a Plasma Due to an Anisotropic Velocity Distribution	1959	1999	Physical Review Letters
87	184.7	A. De Rújula; Howard Georgi; S. L. Glashow	Molecular Charmonium: A New Spectroscopy?	1977	2002	Physical Review Letters
88	183.2	J. Schechter; J. W. F. Valle	Neutrino masses in SU(2) ⊗ U(1) theories	1980	2003	Physical Review D
89	182.9	Charles Kittel	Theory of the Structure of Ferromagnetic Domains in Films and Small Particles	1946	1991	Physical Review
90	180.7	Philippe Nozières	Cyclotron Resonance in Graphite	1958	2008	Physical Review
91	179.8	I. I. Rabi	Space Quantization in a Gyrating Magnetic Field	1937	1995	Physical Review
92	177.2	Takehiko Oguchi	Theory of Spin-Wave Interactions in Ferro- and Antiferromagnetism	1960	1987	Physical Review
93	177.0	Noboru Nakanishi	Lorentz Noninvariance of the Complex-Ghost Relativistic Field Theory	1971	2007	Physical Review D
94	176.4	Charles Kittel	Physical Theory of Ferromagnetic Domains	1949	1996	Reviews of Modern Physics
95	175.1	S. J. Smith; E. M. Purcell	Visible Light from Localized Surface Charges Moving across a Grating	1953	1996	Physical Review
96	174.6	R. P. Feynman	Forces in Molecules	1939	1987	Physical Review
97	174.0	Carl Eckart	The Thermodynamics of Irreversible Processes. III. Relativistic Theory of the Simple Fluid	1940	2005	Physical Review
98	173.3	L. A. MacColl	Note on the Transmission and Reflection of Wave Packets by Potential Barriers	1932	1999	Physical Review
99	173.2	H. B. G. Casimir	On Onsager's Principle of Microscopic Reversibility	1945	2002	Reviews of Modern Physics
100	172.9	J. R. Oppenheimer	On the Quantum Theory of the Capture of Electrons	1928	1970	Physical Review
